CCO,CHEMBL545
C,CHEMBL17564
CO,CHEMBL14688
NCCS,CHEMBL602
NCCN,CHEMBL816
CN,CHEMBL43280
C=O,CHEMBL1255
CCN,CHEMBL14449
CSC,CHEMBL15580
CBr,CHEMBL48339
CI,CHEMBL115849
CF,CHEMBL116838
CC,CHEMBL135626
CNC=O,CHEMBL9240
CCCN,CHEMBL14409
CCCO,CHEMBL14687
O=CC#C,CHEMBL722
C=CC=O,CHEMBL721
CC#N,CHEMBL45211
CCCl,CHEMBL46058
NC#N,CHEMBL56279
CC=O,CHEMBL76101
SC#N,CHEMBL84336
FCF,CHEMBL115186
C#C,CHEMBL116336
CCl,CHEMBL117545
C=C,CHEMBL117822
COC,CHEMBL119178
CNC,CHEMBL120433
CCNCC,CHEMBL1189
CCC,CHEMBL135416
N#N,CHEMBL142438
CNO,CHEMBL144761
CNN,CHEMBL160520
C#N,CHEMBL183419
CC(C)O,CHEMBL582
CNC=O,CHEMBL9081
CCCCON,CHEMBL6960
CCNC=O,CHEMBL9421
CC(O)=O,CHEMBL539
CCCCO,CHEMBL14245
CCCCN,CHEMBL13968
COCOC,CHEMBL15537
CCC#N,CHEMBL15871
CCCCC,CHEMBL16102
CCOCC,CHEMBL16264
NC(N)=N,CHEMBL821
ClCCl,CHEMBL45967
NCC=C,CHEMBL57286
NC(N)=O,CHEMBL985
NCCO,CHEMBL104943
OCCF,CHEMBL115586
CC=C,CHEMBL117213
OC=O,CHEMBL116736
CC#C,CHEMBL116902
CCCC,CHEMBL134702
CCBr,CHEMBL156378
CNNC,CHEMBL162921
CC=O,CHEMBL170365
OCCS,CHEMBL254951
NC=O,CHEMBL266160
ON=C,CHEMBL324784
OCCO,CHEMBL457299
CON,CHEMBL1213633
CCCCl,CHEMBL15697
CS(C)=O,CHEMBL504
ON=C,CHEMBL185198
Cn1ccnc1,CHEMBL543
CCCCCO,CHEMBL14568
CCCCCC,CHEMBL15939
ClCCCl,CHEMBL16370
CCCC#C,CHEMBL16262
OCC(O)CO,CHEMBL692
CN1CCCC1,CHEMBL665
CC(=O)NO,CHEMBL734
NCC(O)=O,CHEMBL773
CCCCCF,CHEMBL42434
CCOC=O,CHEMBL44215
CCCCCl,CHEMBL47259
NCCCCN,CHEMBL46257
NNC(N)=O,CHEMBL903
CCNCCN,CHEMBL70445
CNCCO,CHEMBL104083
N=C=N,CHEMBL116583
NCCCO,CHEMBL115530
C=C=C,CHEMBL116960
CCC=C,CHEMBL117210
CCSCC,CHEMBL117181
CC#CC,CHEMBL119108
NCCCN,CHEMBL174324
OCCCl,CHEMBL191244
OCC=C,CHEMBL234926
NC(=O)NO,CHEMBL467
CCC=O,CHEMBL275626
CSCCO,CHEMBL277871
COC=O,CHEMBL295026
ClCBr,CHEMBL346918
C1CCSC1,CHEMBL1379
COCCO,CHEMBL444144
OCCCO,CHEMBL379652
OCCBr,CHEMBL468583
C1CN1,CHEMBL540990
CCON,CHEMBL1213044
OC#N,CHEMBL1161700
NCCF,CHEMBL1162280
NCC=O,CHEMBL296723
CCNC,CHEMBL1232589
CCCS,CHEMBL1236818
CSSC,CHEMBL1347061
CCNN,CHEMBL1359929
SC#N,CHEMBL1161685
NCCCC(O)=O,CHEMBL96
c1cnoc1,CHEMBL13257
Nc1ccccc1,CHEMBL538
